gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gzip 1.12-1
hadolint 2.10.0-1
harfbuzz 5.2.0-1
harfbuzz-icu 5.2.0-1
haskell-aeson 2.0.3.0-4
haskell-aeson-pretty 0.8.9-95
haskell-ansi-terminal 0.11.3-29
haskell-ansi-wl-pprint 0.6.9-346
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-192
haskell-asn1-parse 0.9.5-192
haskell-asn1-types 0.3.4-171
haskell-assoc 1.0.2-164
haskell-async 2.2.4-117
haskell-attoparsec 0.14.4-38
haskell-attoparsec-iso8601 1.1.0.0-14
haskell-auto-update 0.1.6-279
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-14
haskell-base-orphans 0.8.7-21
haskell-base16-bytestring 1.0.2.0-44
haskell-base64 0.4.2.4-30
haskell-base64-bytestring 1.2.1.0-66
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.13-6
haskell-bitvec 1.1.3.0-14
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-188
haskell-blaze-markup 0.8.2.8-94
haskell-boring 0.2-4
haskell-bsb-http-chunked 0.0.0.4-323
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-113
haskell-case-insensitive 1.2.1.0-167
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.0.1-11
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-138
haskell-commonmark 0.2.2-19
haskell-commonmark-extensions 0.2.3.3-2
haskell-commonmark-pandoc 0.2.1.2-87
haskell-comonad 5.0.8-166
haskell-conduit 1.3.4.3-3
haskell-conduit-extra 1.3.6-34
haskell-connection 0.3.1-220
haskell-constraints 0.13.4-13
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-35
haskell-data-default 0.7.1.1-254
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-267
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-66
haskell-dec 0.0.5-1
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-169
haskell-dlist 1.0-189
haskell-doclayout 0.4-15
haskell-doctemplates 0.10.0.2-24
haskell-easy-file 0.2.2-19
haskell-emojis 0.1.2-38
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.1-57
haskell-file-embed 0.0.15.0-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-54
haskell-gridtables 0.1.0.0-2
haskell-haddock-library 1.10.0-176
haskell-hashable 1.4.1.0-25
haskell-hourglass 0.2.12-210
haskell-hslua 2.2.1-10
haskell-hslua-aeson 2.2.1-11
haskell-hslua-classes 2.2.0-29
haskell-hslua-core 2.2.1-23
haskell-hslua-marshalling 2.2.1-17
haskell-hslua-module-doclayout 1.0.4-60
haskell-hslua-module-path 1.0.3-19
haskell-hslua-module-system 1.0.2-17
haskell-hslua-module-text 1.0.2-19
haskell-hslua-module-version 1.0.3-16
haskell-hslua-objectorientation 2.2.1-13
haskell-hslua-packaging 2.2.1-9
haskell-hsyaml 0.2.1.1-22
haskell-http-api-data 0.5-3
haskell-http-client 0.7.13.1-17
haskell-http-client-tls 0.3.6.1-61
haskell-http-date 0.0.11-100
haskell-http-media 0.8.0.0-169
haskell-http-types 0.12.3-271
haskell-http2 3.0.3-4
haskell-hunit 1.6.2.0-155
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1.1-17
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-42
haskell-ipynb 0.2-54
haskell-jira-wiki-markup 1.4.0-77
haskell-juicypixels 3.3.7-34
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-257
haskell-lpeg 1.0.3-13
haskell-lua 2.2.1-14
haskell-memory 0.17.0-31
haskell-mime-types 0.1.1.0-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-66
haskell-mono-traversable 1.0.15.3-89
haskell-network 3.1.2.7-42
haskell-network-byte-order 0.1.6-142
haskell-network-uri 2.6.4.1-100
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-39
haskell-optparse-applicative 0.17.0.0-10
haskell-pandoc-lua-marshal 0.1.7-17
haskell-pandoc-types 1.22.2.1-15
haskell-pem 0.2.4-248
haskell-pretty-show 1.10-13
haskell-primitive 0.7.4.0-39
haskell-psqueues 0.2.7.3-46
haskell-quickcheck 2.14.2-366
haskell-random 1.2.1.1-64
haskell-recv 0.0.0-3
haskell-resourcet 1.2.6-14
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-77
haskell-semialign 1.2.0.1-84
haskell-semigroupoids 5.3.7-68
haskell-servant 0.19-17
haskell-servant-server 0.19.1-19
haskell-sha 1.6.4.4-19
haskell-simple-sendfile 0.2.30-317
haskell-singleton-bool 0.1.6-7
haskell-skylighting 0.13-10
haskell-skylighting-core 0.13-9
haskell-skylighting-format-ansi 0.1-9
haskell-skylighting-format-blaze-html 0.1.1-5
haskell-skylighting-format-latex 0.1-9
haskell-socks 0.6.1-196
haskell-some 1.0.4.1-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.3.5-10
haskell-splitmix 0.1.0.4-104
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.4-38
haskell-strict 0.4.0.1-138
haskell-string-conversions 0.4.0.1-135
haskell-syb 0.7.2.2-6
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-190
haskell-temporary 1.3-473
haskell-texmath 0.12.5.4-2
haskell-text-conversions 0.3.1.1-25
haskell-text-icu 0.8.0.2-12
haskell-text-short 0.1.5-43
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-7
haskell-th-lift 0.8.2-13
haskell-th-lift-instances 0.1.20-9
haskell-these 1.1.1.1-165
haskell-time-compat 1.9.6.1-61
haskell-time-manager 0.0.0-276
haskell-tls 1.6.0-18
haskell-transformers-base 0.4.6-66
haskell-transformers-compat 0.7.2-1
haskell-type-equality 1-12
haskell-typed-process 0.2.10.1-18
haskell-unicode-collation 0.1.3.3-2
haskell-unicode-data 0.3.1-3
haskell-unicode-transforms 0.4.0.1-32
haskell-uniplate 1.6.13-157
haskell-unix-compat 0.6-34
haskell-unix-time 0.4.8-6
haskell-unliftio 0.2.22.0-24
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.19.1-41
haskell-utf8-string 1.0.2-114
haskell-uuid-types 1.0.5-81
haskell-vault 0.3.1.5-120
haskell-vector 0.13.0.0-3
haskell-vector-algorithms 0.9.0.1-14
haskell-vector-stream 0.1.0.0-1
haskell-wai 3.2.3-157
haskell-wai-app-static 3.1.7.4-86
haskell-wai-extra 3.1.12.1-80
haskell-wai-logger 2.4.0-144
haskell-warp 3.3.23-6
haskell-witherable 0.4.2-25
haskell-word8 0.1.3-22
haskell-x509 1.7.7-21
haskell-x509-store 1.6.9-46
haskell-x509-system 1.6.7-49
haskell-x509-validation 1.6.12-51
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-148
haskell-xml-types 0.3.8-8
haskell-yaml 0.11.8.0-65
haskell-zip-archive 0.4.2.2-4
haskell-zlib 0.6.3.0-24
helix 22.08.1-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highway 1.0.1-1
http-parser 2.9.4-1
hunspell 1.7.1-1
hwdata 0.363-1
hwloc 2.8.0-1
hyphen 2.8.8-4
iana-etc 20220915-1
icu 71.1-1
ijs 0.35-4
imagemagick 7.1.0.50-1
imath 3.1.5-3
imlib2 1.9.1-2
iniparser 4.1-4
inkscape 1.2.1-8
iproute2 6.0.0-1
iptables 1:1.8.8-2
iputils 20211215-1
iso-codes 4.11.0-2
jack2 1.9.21-1
jansson 2.14-2
jaq 0.8.1-1
jasper 3.0.6-1
java-runtime-common 3-3
jbig2dec 0.19-1
jfsutils 1.1.15-8
jmtpfs 0.5-3
jq 1.6-4
jre-openjdk 18.0.2.1.u0-1
jre-openjdk-headless 18.0.2.1.u0-1
jre8-openjdk 8.345.u01-1
jre8-openjdk-headless 8.345.u01-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
karchive 5.99.0-1
kauth 5.99.0-1
kbd 2.5.1-1
kcodecs 5.99.0-1
kconfig 5.99.0-1
kconfigwidgets 5.99.0-1
kcoreaddons 5.99.0-1
kdbusaddons 5.99.0-1
keyutils 1.6.3-1
kguiaddons 5.99.0-1
ki18n 5.99.0-1
kiconthemes 5.99.0-1
kidletime 5.99.0-1
kimageformats 5.99.0-1
kind 0.16.0-1
kmod 30-1
knotifications 5.99.0-1
kpty 5.99.0-1
krb5 1.20-1
kservice 5.99.0-1
kubectl 1.25.2-1
kubectx 0.9.4-1
kustomize 4.5.7-1
kwallet 5.99.0-1
kwallet-pam 5.25.5-1
kwayland 5.99.0-1
kwayland-integration 5.25.5-2
kwidgetsaddons 5.99.0-1
kwindowsystem 5.99.0-1
kwrited 5.25.5-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
lazygit 0.35-1
lcms2 2.13.1-1
ldb 2:2.6.1-1
ldns 1.8.3-1
lensfun 1:0.3.3-1
less 1:608-1
lib2geom 1.2-2
libaio 0.3.113-1
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-2
libarchive 3.6.1-2
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-1
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.10.1-2
libavtp 0.2.0-1
libblockdev 2.28-1
libbluray 1.3.3-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.6-2
libbytesize 2.7-1
libcanberra 1:0.30+r2+gc0620e4-1
libcap 2.66-1
libcap-ng 0.8.3-1
libcddb 1.3.2-6
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-4
libchamplain 0.12.20-3
libcloudproviders 0.3.1-2
libcolord 1.4.6-1
libcue 2.2.1-2
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-2
libdrm 2.4.113-3
libdv 1.0.0-9
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libedit 20210910_3.1-1
libelf 0.187-2
libepoxy 1.5.10-1
libevdev 1.13.0-1
libevent 2.1.12-2
libexif 0.6.24-1
libfdk-aac 2.0.2-1
libffi 3.4.3-1
libfontenc 1.1.6-1
libfreeaptx 0.1.1-1
libgcrypt 1.10.1-1
libgdiplus 5.6.1-3
libgexiv2 0.14.0-3
libgit2 1:1.5.0-1
libglvnd 1.5.0-1
libgme 0.6.3-1
libgnomekbd 1:3.28.1-1
libgpg-error 1.46-1
libgphoto2 2.5.30-1
libgrss 0.7.0+16+g971c421-3
libgsf 1.14.50-1
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-2
libgusb 0.4.1-1
libgxps 0.3.2-2
libhandy 1.8.0-1
libheif 1.13.0-2
libical 3.0.15-1
libice 1.0.10-4
libid3tag 0.15.1b-11
libidn 1.41-1
libidn2 2.3.3-1
libiec61883 1.2.0-6
libieee1284 0.2.11-13
libimobiledevice 1.3.0-5
libindicator-gtk3 12.10.1-10
libinih 56-1
libinput 1.21.0-1
libinstpatch 1.1.6-1
libiptcdata 1.0.4-5
libisl 0.25-1
libjpeg-turbo 2.1.4-2
libjxl 0.7.0-3
libkate 0.4.1-8
libksba 1.6.2-1
libldac 2.0.2.3-1
libldap 2.6.3-1
libldap24 2.4.59-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libluv 1.44.2_1-1
libmad 0.15.1b-9
libmanette 0.2.6-3
libmd 1.0.4-1
libmfx 22.4.4-1
libmicrodns 0.2.0-1
libmikmod 3.3.11.1-6
libmm-glib 1.18.12-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-3
libmpc 1.2.1-2
libmpcdec 1:0.1+r475-3
libmpdclient 2.20-2
libmtp 1.1.20-1
libmupdf 1.20.3-1
libmypaint 1.6.1-1
libnautilus-extension 42.2-1
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.21-8
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.3-1
libnghttp2 1.50.0-1
libnice 0.1.19-1
libnl 3.7.0-1
libnm 1.40.0-1
libnma 1.10.2-1
libnma-common 1.10.2-1
libnotify 0.8.1-1
libnsl 2.0.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenmpt 0.6.6-2
libosinfo 1.10.0-1
libp11-kit 0.24.1-1
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.16-4
libpgm 5.3.128-2
libpipeline 1.5.6-1
libplacebo 4.208.0-1
libplist 2.2.0-5
libpng 1.6.38-1
libportal 0.6-1
libportal-gtk3 0.6-1
libproxy 0.4.18-1
libpsl 0.21.1-1
libpulse 16.1-1
libraqm 0.9.0-1
libraw 0.20.2-2
libraw1394 2.1.2-3
librevenge 0.0.4-4
librsvg 2:2.55.1-1
libsamplerate 0.2.2-1
libsasl 2.1.28-1
libseccomp 2.5.4-1
libsecret 0.20.5-2
libshout 1:2.4.6-1
libsidplayfp 2.3.1-1
libsigc++ 2.10.8-1
libsigsegv 2.14-1
libsm 1.2.3-3
libsndfile 1.1.0-3
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.2.0-1
libsoxr 0.1.3-2
libspectre 0.2.10-2
libspeechd 0.11.3-1
libspiro 1:20220722-1
libsrtp 1:2.4.2-1
libssh 0.10.4-1
libssh2 1.10.0-1
libstemmer 2.2.0-2
libsynctex 2022.62885-1
libsysprof-capture 3.44.0-2
libtasn1 4.19.0-1
libteam 1.31-5
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-4
libtirpc 1.3.3-1
libtool 2.4.7-5
libtorrent 0.13.8-2
libuninameslist 20211114-1
libunistring 1.0-1
libunwind 1.6.2-1
libupnp 1.14.14-1
liburcu 0.13.2-1
liburing 2.2-1
libusb 1.0.26-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libuv 1.44.2-1
libva 2.16.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvisio 0.1.7-7
libvisual 0.4.0-8
libvorbis 1.3.7-3
libvpx 1.12.0-1
libvterm 0.3-1
libwacom 2.4.0-1
libwebp 1.2.4-1
libwmf 0.2.12-2
libwpd 0.10.3-3
libwpe 1.14.0-1
libwpg 0.3.3-3
libx11 1.8.1-3
libxau 1.0.10-1
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.2-1
libxdamage 1.1.5-4
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.6-1
libxft 2.3.6-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxklavier 5.4-3
libxml2 2.10.2-2
libxmlrpc 1:1.51.08-2
libxmu 1.1.3-3
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxshmfence 1.3-3
libxslt 1.1.37-2
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.4-1
libxv 1.0.11-5
libxxf86vm 1.1.5-1
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
licenses 20220125-1
lilv 0.24.20-1
linux 5.19.13.arch1-1
linux-api-headers 5.18.15-1
linux-firmware 20220913.f09bebf-1
linux-firmware-whence 20220913.f09bebf-1
linux-headers 5.19.13.arch1-1
linux-lts 5.15.72-1
linux-lts-headers 5.15.72-1
llvm 14.0.6-3
llvm-libs 14.0.6-3
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
ltex-ls-bin 15.2.0-1
lua 5.4.4-2
lua-language-server 3.5.6-1
lua-lpeg 1.0.2-4
lua53 5.3.6-1
luajit 2.1.0.beta3.r449.gdad04f17-1
luit 20220111-1
lv2 1.18.10-1
lvm2 2.03.16-2
lxappearance 0.6.3-4
lxsession 1:0.5.5-1
lz4 1:1.9.4-1
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
maim 5.7.4-4
make 4.3-3
man-db 2.10.2-1
mate-polkit 1.26.0-1
md4c 0.4.8-1
mdadm 4.2-2
mesa 22.1.7-1
metis 5.1.0.p10-2
minikube 1.27.1-1
minizip 1:1.2.12-2
mjpegtools 2.2.1-1
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20220725-1
mono 6.12.0.177-1
mono-msbuild 16.10.1.xamarinxplat.2021.05.26.14.00-3
mpc 0.34-2
mpd 0.23.9-3
mpfr 4.1.0.p13-3
mpg123 1.30.2-1
mpv 1:0.34.1-5
msgpack-c 4.0.0-1
msodbcsql 18.0.1.1-1
mtdev 1.1.6-2
mtools 1:4.0.41-1
mtpfs 1.1-4
mujs 1.2.0-2
mypaint-brushes1 1.3.1-1
nano 6.4-1
nautilus 42.2-1
ncdu 2.1.2-1
ncmpcpp 0.9.2-8
ncurses 6.3-3
ndctl 74-1
nemo 5.4.3-1
neon 0.32.4-1
neovim 0.8.0-3
nerd-fonts-jetbrains-mono 2.2.2-2
net-snmp 5.9.1-4
netctl 1.28-1
netpbm 10.73.37-2
netstandard-targeting-pack 6.0.9.sdk109-1
nettle 3.8.1-1
network-manager-applet 1.28.0-1
networkmanager 1.40.0-1
nginx 1.22.0-2
nilfs-utils 2.2.9-1
ninja 1.11.1-1
nm-connection-editor 1.28.0-1
nmap 7.92-1
node-gyp 9.2.0-1
nodejs-lts-gallium 16.16.0-1
nodejs-nativefier 50.0.0-1
nodejs-nopt 6.0.0-1
noto-fonts 20220810-1
noto-fonts-emoji 20220920-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.83-1
ntfs-3g 2022.5.17-1
ntp 4.2.8.p15-1
numactl 2.0.16-1
nvim-packer-git r546.6afb674-1
ocl-icd 2.3.1-1
omnisharp-roslyn 1.39.1-1
oniguruma 6.9.8-1
openal 1.22.2-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-2
openpmix 4.2.1-1
openresolv 3.12.0-1
openssh 9.1p1-1
openssl 1.1.1.q-1
opus 1.3.1-3
orc 0.4.32-1
os-prober 1.81-1
osinfo-db 20220830-1
oxygen-sounds 5.25.5-1
p11-kit 0.24.1-1
pacman 6.0.1-8
pacman-mirrorlist 20220828-1
pacutils 0.11.1-1
pahole 1:1.23-1
pam 1.5.2-1
pambase 20211210-1
pamixer 1.6-2
pandoc 2.19.2-13
pango 1:1.50.11-1
pangomm 2.46.3-1
parted 3.5-1
pass 1.7.4-3
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.8.0-2
pcre 8.45-3
pcre2 10.40-3
perl 5.36.0-1
perl-error 0.17029-4
perl-file-which 1.27-2
perl-mailtools 2.21-6
perl-parse-yapp 1.21-5
perl-timedate 2.33-4
pgadmin4 4.30-4
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
pinentry 1.2.1-1
pipewire 1:0.3.59-2
pipewire-media-session 1:0.4.1-2
pixman 0.40.0-2
pkgconf 1.8.0-1
polkit 121-1
polkit-qt5 0.114.0-1
poppler 22.10.0-1
poppler-data 0.4.11-1
poppler-glib 22.10.0-1
popt 1.18-3
portaudio 1:19.7.0-1
postgresql 14.5-1
postgresql-libs 14.5-1
potrace 1.16-2
procps-ng 3.3.17-1
